央视频道,#genre#
CCTV1[1920x1080],http://58.254.14.87:808/hls/1/index.m3u8
CCTV2[1920x1080],http://58.254.14.87:808/hls/2/index.m3u8
CCTV3[1920x1080],http://58.254.14.87:808/hls/3/index.m3u8
CCTV4[1920x1080],http://58.254.14.87:808/hls/4/index.m3u8
CCTV5[1920x1080],http://58.254.14.87:808/hls/5/index.m3u8
CCTV5+[1920x1080],http://58.254.14.87:808/hls/99/index.m3u8
CCTV6[1920x1080],http://58.254.14.87:808/hls/6/index.m3u8
CCTV7[1920x1080],http://58.254.14.87:808/hls/7/index.m3u8
CCTV8[1920x1080],http://58.254.14.87:808/hls/8/index.m3u8
CCTV9[1920x1080],http://58.254.14.87:808/hls/9/index.m3u8
CCTV10[1920x1080],http://58.254.14.87:808/hls/10/index.m3u8
CCTV11[1920x1080],http://58.254.14.87:808/hls/11/index.m3u8
CCTV12[1920x1080],http://58.254.14.87:808/hls/12/index.m3u8
CCTV13[1920x1080],http://58.254.14.87:808/hls/13/index.m3u8
CCTV14[1920x1080],http://58.254.14.87:808/hls/14/index.m3u8
CCTV15[1920x1080],http://58.254.14.87:808/hls/15/index.m3u8
CCTV16[1920x1080],http://58.254.14.87:808/hls/214/index.m3u8
CCTV17[1920x1080],http://58.254.14.87:808/hls/211/index.m3u8
CCTV兵器科技[1920x1080],http://58.254.14.87:808/hls/552/index.m3u8
CCTV第一剧场[1920x1080],http://58.254.14.87:808/hls/550/index.m3u8
CCTV风云足球[1920x1080],http://58.254.14.87:808/hls/507/index.m3u8
CCTV高尔夫网球[1920x1080],http://58.254.14.87:808/hls/553/index.m3u8
CCTV女性时尚[1920x1080],http://58.254.14.87:808/hls/522/index.m3u8
CCTV央视台球[1920x1080],http://58.254.14.87:808/hls/72/index.m3u8
CCTV央视文化精品[1920x1080],http://58.254.14.87:808/hls/549/index.m3u8
广东频道,#genre#
广东卫视[1920x1080],http://58.254.14.87:808/hls/21/index.m3u8
广东新闻[1920x1080],http://58.254.14.87:808/hls/52/index.m3u8
广东经济科教[1920x1080],http://58.254.14.87:808/hls/502/index.m3u8
广东影视[1920x1080],http://58.254.14.87:808/hls/53/index.m3u8
广东珠江[1920x1080],http://58.254.14.87:808/hls/55/index.m3u8
广东民生[1920x1080],http://58.254.14.87:808/hls/58/index.m3u8
广东体育[1920x1080],http://58.254.14.87:808/hls/216/index.m3u8
广东少儿[1920x1080],http://58.254.14.87:808/hls/54/index.m3u8
